skill_tag,framework,level,competency,sort_order,weakness_insight,strength_insight,action_text,status
Reflective Listening,core,beginner,Active Listening,1,Missing emotional undertones when reflecting back client sharing.,Strong at reflecting both content and emotional undertones.,"Practice saying: ""What I heard you say is..."" and include both facts and feelings.",Active
Non-Judgmental Listening,core,beginner,Active Listening,2,Creating barriers to open communication through unconscious judgment.,Creating psychological safety through non-judgmental presence.,"Set intention before sessions: approach with curiosity, not judgment.",Active
Paraphrasing,core,beginner,Active Listening,3,"Struggling to paraphrase client sharing in new, clarifying ways.",Your skillful paraphrasing helps clients hear their own thoughts reflected back in a way that creates clarity and new understanding about their situation and feelings.,"Paraphrase complex sharing: ""So if I'm hearing this correctly, what you're saying is...""",Active
Emotional Mirroring,core,beginner,Active Listening,4,Missing emotional content while focusing primarily on facts.,Your sensitivity to emotional nuances and ability to reflect feelings back to clients helps them develop greater emotional awareness and process complex feelings safely.,"Reflect emotional words back: ""I notice you used 'frustrated' - tell me more.""",Active
Staying Present,core,beginner,Active Listening,5,Mind wandering instead of staying fully present with client.,Your ability to maintain present-moment awareness creates a container of focused attention that allows clients to feel fully seen and supported as they explore their thoughts and feelings.,"When mind wanders, breathe and refocus on client words, tone, energy.",Active
Deep Listening,core,beginner,Active Listening,6,Hearing words but missing deeper meanings and unspoken concerns.,"Your capacity for deep listening allows you to hear beyond words to the underlying meanings, concerns, and desires that clients may not even be fully aware of themselves.","Listen for themes and patterns: ""I'm noticing a theme around... does that resonate?""",Active
Open-Ended Questions,core,beginner,Powerful Questions,1,Using closed questions that limit client exploration and responses.,"Your skillful use of open-ended questions creates space for clients to explore their thoughts and feelings comprehensively, leading to richer insights and self-discovery.","Replace ""Did you..."" with ""What was that experience like for you?""",Active
Clarifying Questions,core,beginner,Powerful Questions,2,Making assumptions instead of asking clarifying questions.,Your use of clarifying questions helps ensure mutual understanding while encouraging clients to articulate their thoughts and feelings with greater precision and awareness.,"Ask for specifics: ""When you say 'stressful,' what does that look like?""",Active
Future-Focused Questions,core,beginner,Powerful Questions,3,Focusing on problems rather than helping clients explore possibilities.,Your ability to guide clients toward future possibilities and desired outcomes helps them shift from problem-focused thinking to solution-oriented exploration and goal creation.,"Shift to possibilities: ""What would you like to see happen instead?""",Active
Values-Based Questions,core,beginner,Powerful Questions,4,Missing connections between client challenges and deeper values.,"Your questions help clients connect with their core values and what matters most to them, providing a foundation for authentic decision-making and meaningful goal setting.","Connect to values: ""What's most important about how this unfolds?""",Active
Perspective Shift Questions,core,beginner,Powerful Questions,5,Not offering questions that help clients consider alternative viewpoints.,"Your questions skillfully invite clients to consider new perspectives and reframe their challenges, opening up possibilities they may not have previously considered.","Offer new perspectives: ""What would someone who cares say about this?""",Active
Possibility Questions,core,beginner,Powerful Questions,6,Focusing on obstacles rather than helping explore possibilities.,"Your questions help clients expand their awareness of possibilities and potential, shifting them from constraint-based thinking to opportunity-focused exploration.","Ask possibility questions: ""What becomes possible if you approach this differently?""",Active
Emotional Awareness,core,beginner,Present Moment Awareness,1,Missing emotional cues and present-moment feelings in sessions.,Your ability to notice and help clients become aware of their emotions in real-time creates opportunities for powerful breakthroughs and deeper self-understanding.,"Notice energy shifts: ""Your energy seems different now - what are you aware of?""",Active
Energy Reading,core,beginner,Present Moment Awareness,2,Missing client energy shifts and failing to use therapeutically.,Your sensitivity to energy shifts and changes in client presence allows you to identify important moments and guide clients toward deeper self-awareness and insight.,"Watch for tone/pace/body changes: ""Something shifted just now - what happened?""",Active
Intuitive Observations,core,beginner,Present Moment Awareness,3,Over-relying on logic while missing intuitive coaching insights.,Your intuitive observations and willingness to share what you notice creates opportunities for clients to gain unexpected insights and access their own inner wisdom.,"Share intuition: ""I'm sensing hesitation - am I reading that correctly?""",Active
Silence Comfort,core,beginner,Present Moment Awareness,4,Rushing to fill silence instead of allowing client processing time.,Your comfort with silence creates space for clients to process deeply and often leads to their most profound insights and breakthrough moments during coaching sessions.,Hold silence after powerful questions - count to 10 before speaking.,Active
Present Moment Coaching,core,beginner,Present Moment Awareness,5,Getting caught in stories instead of present-moment awareness.,"Your skill in present moment coaching helps clients become aware of immediate experiences, thoughts, and feelings, creating powerful opportunities for real-time transformation.","Bring to present: ""What are you noticing right now as you talk about this?""",Active
